accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,accelerometerTimestamp_sinceReboot,identifierForVendor,locationAltitude,locationCourse,locationFloor,locationHorizontalAccuracy,locationLatitude,locationLongitude,locationSpeed,locationTimestamp_since1970,locationVerticalAccuracy,loggingTime 
0.036545,-0.899109,-0.422577,387044.516326,BDA239AB-D780-48E7-95D7-E8D133CEF7A8,5.478992,-1.000000,-9999,65.000000,13.719441,100.445560,-1.000000,1602778318.938985,10.000000,2563-10-15 23:12:01.116 +0700
0.035294,-0.898621,-0.422974,387044.616038,BDA239AB-D780-48E7-95D7-E8D133CEF7A8,5.478992,-1.000000,-9999,65.000000,13.719441,100.445560,-1.000000,1602778318.938985,10.000000,2563-10-15 23:12:01.216 +0700
0.035446,-0.899048,-0.423157,387044.715750,BDA239AB-D780-48E7-95D7-E8D133CEF7A8,5.478992,-1.000000,-9999,65.000000,13.719441,100.445560,-1.000000,1602778318.938985,10.000000,2563-10-15 23:12:01.316 +0700
0.035934,-0.898682,-0.421890,387044.815463,BDA239AB-D780-48E7-95D7-E8D133CEF7A8,5.478992,-1.000000,-9999,65.000000,13.719441,100.445560,-1.000000,1602778318.938985,10.000000,2563-10-15 23:12:01.416 +0700
0.036224,-0.899628,-0.421326,387044.915175,BDA239AB-D780-48E7-95D7-E8D133CEF7A8,5.478992,-1.000000,-9999,65.000000,13.719441,100.445560,-1.000000,1602778318.938985,10.000000,2563-10-15 23:12:01.516 +0700
0.036118,-0.898834,-0.422943,387045.014887,BDA239AB-D780-48E7-95D7-E8D133CEF7A8,5.478992,-1.000000,-9999,65.000000,13.719441,100.445560,-1.000000,1602778318.938985,10.000000,2563-10-15 23:12:01.616 +0700
0.036133,-0.898209,-0.422119,387045.114599,BDA239AB-D780-48E7-95D7-E8D133CEF7A8,5.478992,-1.000000,-9999,65.000000,13.719441,100.445560,-1.000000,1602778318.938985,10.000000,2563-10-15 23:12:01.716 +0700
0.035889,-0.898880,-0.421829,387045.214311,BDA239AB-D780-48E7-95D7-E8D133CEF7A8,5.478992,-1.000000,-9999,65.000000,13.719441,100.445560,-1.000000,1602778318.938985,10.000000,2563-10-15 23:12:01.816 +0700
0.036667,-0.899307,-0.422104,387045.314023,BDA239AB-D780-48E7-95D7-E8D133CEF7A8,5.478992,-1.000000,-9999,65.000000,13.719441,100.445560,-1.000000,1602778318.938985,10.000000,2563-10-15 23:12:01.916 +0700
0.036987,-0.898926,-0.422165,387045.413735,BDA239AB-D780-48E7-95D7-E8D133CEF7A8,5.478992,-1.000000,-9999,65.000000,13.719441,100.445560,-1.000000,1602778318.938985,10.000000,2563-10-15 23:12:02.016 +0700
0.035919,-0.898743,-0.421143,387045.513448,BDA239AB-D780-48E7-95D7-E8D133CEF7A8,5.478992,-1.000000,-9999,65.000000,13.719441,100.445560,-1.000000,1602778318.938985,10.000000,2563-10-15 23:12:02.116 +0700
0.035690,-0.899170,-0.421432,387045.613160,BDA239AB-D780-48E7-95D7-E8D133CEF7A8,5.478992,-1.000000,-9999,65.000000,13.719441,100.445560,-1.000000,1602778318.938985,10.000000,2563-10-15 23:12:02.216 +0700
0.036194,-0.899246,-0.422546,387045.712871,BDA239AB-D780-48E7-95D7-E8D133CEF7A8,5.478992,-1.000000,-9999,65.000000,13.719441,100.445560,-1.000000,1602778318.938985,10.000000,2563-10-15 23:12:02.316 +0700
0.035736,-0.898499,-0.422958,387045.812583,BDA239AB-D780-48E7-95D7-E8D133CEF7A8,5.478992,-1.000000,-9999,65.000000,13.719441,100.445560,-1.000000,1602778318.938985,10.000000,2563-10-15 23:12:02.416 +0700
0.036118,-0.899323,-0.422256,387045.912296,BDA239AB-D780-48E7-95D7-E8D133CEF7A8,5.478992,-1.000000,-9999,65.000000,13.719441,100.445560,-1.000000,1602778318.938985,10.000000,2563-10-15 23:12:02.516 +0700
0.035721,-0.898834,-0.421494,387046.012008,BDA239AB-D780-48E7-95D7-E8D133CEF7A8,5.478992,-1.000000,-9999,65.000000,13.719441,100.445560,-1.000000,1602778318.938985,10.000000,2563-10-15 23:12:02.616 +0700
